🎫 THE TICKET TAKER — PRE-REGISTERED ENTRY-CELL EDGE SEARCH

registration PREREG_TAKER_CELLS_2026-09-11.json  sha256 daa496cd38c7c7bc…  m=152  FDR=0.05
BAR: A cell is an EDGE iff it survives BH at FDR 0.05 across all m=152 pre-declared cells on the day-clustered one-sided paired-difference t, AND its selection-adjusted p_max <= 0.05 against the shift-placebo max statistic, AND it survives coin-clustering, AND it passes every concentration test, AND its point excess exceeds its own mde80_cluster. Even then it ships only as a shadow-lane restriction with a pre-registered forward read, never as a live change.

K=2000 null draws/close (seed 20260910)  ·  B=2000 shift placebos (seed 20260911)  ·  n floor = fleet_allocation.MIN_N = 10  ·  t_crit(30) = 1.3114

[bot_pnl_store] disabled: DATABASE_URL not set
ledger   304 kept after quarantine/phantom/adopted  ->  era n=208  since 2026-07-30T11:09:46+00:00 (policy-stamp)
families {'long-breakoutup': 162, 'short-divergence': 46}
LIVE_SIDES = {'divergence': ['short']}   <- a long-breakoutup survivor can only buy a SHADOW-lane filter

era reproduction  mine {'n': 208, 't': 2.12, 'h1': 46.06, 'h2': 70.59}  vs published {'n': 208, 't': 2.12, 'h1': 46.06, 'h2': 70.59}  -> MATCH

long-breakoutup  era n=162  carrying all 7 entry features: 162  (floor 140)

tape  49 coins, 46d (cache /Users/eamonjuaomartins-carrick/Claude/Projects/Crypto Trading Bot/.claude/worktrees/taker-edge/scripts/.taker_null_tape) …
  covers 46/49 coins (94%, floor 60%)

calibration  replayed +0.728%/trade vs ledger +0.809% on the SAME 196 closes (|drift| 0.081pp, tol 0.60pp)
calibration OK

outcome curves  196 closes (12 dropped: coin absent from the tape)  1.9s
null  K=2000 draws/close  median MC SE of mu_i = 0.124pp (ceiling 0.15pp)
paired unit  d_i = x_i - mu_i   book +0.809%/trade  null +1.063%/trade  excess -0.254pp

selection premium  B=2000 shift placebos: null max-t median +1.38, p95 +2.57  (4.6s)
  (a cell must beat that BEFORE it means anything — the already-measured premium on this book was ~+0.96 to +1.17 z-units)

§9 PIPELINE CALIBRATION — run BEFORE the real table; failure REFUSES.
  positive control +2.00pp planted on a sha256-parity cell (n=110, an EXTRA hypothesis so it carries the m+1=153 burden): t +2.91, p 3.03e-03, p_max 0.0195, post-BH survivors 0 -> does not fire  [GATING]

  the control cell's own MULTIPLICITY-ADJUSTED detection floor is 3.35pp/trade (n=110, G=39 day clusters, BH rank-1 threshold 3.27e-04) — a search this WIDE cannot see +2.00pp on a cell this size, whatever is in the data.
  !! --diagnostic: the control failure is DOWNGRADED to a reported line. Everything below is a LANDSCAPE, not a test. NO cell printed after this point can be called an edge, whatever its p-value, because the pipeline has just FAILED its own positive control at this width.
  positive control +1.00pp planted on a sha256-parity cell (n=110, an EXTRA hypothesis so it carries the m+1=153 burden): t +1.54, p 6.55e-02, p_max 0.3913, post-BH survivors 0 -> does not fire  [reported, not gating]
  placebo (book replaced by a held-out null draw, 20 seeds): post-BH survivors per seed [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] -> median 0 of 152 (ceiling 2)
  pipeline calibration: the placebo arm is CLEAN (it does not open on noise) but the POSITIVE CONTROL FAILED — so the gate does not open on a real +2.00pp effect either. Only one half of the calibration passed, and it is the half that cannot license a finding.

==================================================================================================================================================================
EVERY PRE-DECLARED CELL (all m, not just survivors — a sweep that prints only the winner is the artifact)
==================================================================================================================================================================
  # cell                                      n   G    book%    null%   excess   t_day   t_iid        p    BHthr  BH  mde80c   mdeBH    pmax note
------------------------------------------------------------------------------------------------------------------------------------------------------------------
 24 chg_pct <= p80                          121  36   +1.154   +1.430   -0.276   -0.37   -0.52   0.6431  0.02632   -    2.11    3.43  1.0000 ok cut=10.98
 25 prem_bps >= p20                         122  33   +1.068   +1.546   -0.478   -0.56   -0.83   0.7089  0.03059   -    2.43    3.98  1.0000 ok cut=-4.8
 26 prem_bps <= p20                          32  20   +2.189   +1.174   +1.015   +0.83   +0.94   0.2084  0.00625   -    3.54    6.03  0.8716 ok cut=-4.8
 27 prem_bps >= p40                          93  26   +1.184   +1.641   -0.457   -0.45   -0.63   0.6724  0.02730   -    2.86    4.80  1.0000 ok cut=-1.6
 28 prem_bps <= p40                          62  31   +1.290   +1.301   -0.011   -0.01   -0.02   0.5053  0.01875   -    2.26    3.70  0.9990 ok cut=-1.6
 29 prem_bps >= p60                          61  21   +0.604   +1.680   -1.076   -1.03   -1.21   0.8432  0.03882   -    2.96    5.09  1.0000 ok cut=3.56
 30 prem_bps <= p60                          91  35   +1.657   +1.340   +0.317   +0.30   +0.52   0.3824  0.01414   -    2.98    4.84  0.9875 ok cut=3.56
 31 prem_bps >= p80                          32  17   +0.252   +1.761   -1.509   -1.03   -1.04   0.8408  0.03849   -    4.24    7.44  1.0000 ok cut=7
 32 prem_bps <= p80                         123  35   +1.723   +1.411   +0.312   +0.35   +0.55   0.3629  0.01283   -    2.49    4.06  0.9815 ok cut=7
 33 range_pos >= p20                        150  36   +1.239   +1.475   -0.236   -0.29   -0.46   0.6129  0.02303   -    2.30    3.75  1.0000 ok cut=0.95
 34 range_pos <= p20                         35  20   +0.377   +1.591   -1.214   -0.99   -1.17   0.8336  0.03816   -    3.52    6.02  1.0000 ok cut=0.95
 35 range_pos >= p40                         98  35   +1.752   +1.421   +0.331   +0.35   +0.49   0.3650  0.01349   -    2.69    4.38  0.9820 ok cut=0.97
 36 range_pos <= p40                         79  29   +0.603   +1.568   -0.965   -1.27   -1.52   0.8927  0.04112   -    2.15    3.56  1.0000 ok cut=0.97
 37 range_pos >= p60                         73  34   +1.918   +1.378   +0.540   +0.50   +0.67   0.3095  0.01118   -    3.05    4.96  0.9655 ok cut=0.98
 38 range_pos <= p60                        102  32   +0.954   +1.578   -0.624   -0.89   -1.11   0.8089  0.03684   -    1.99    3.27  1.0000 ok cut=0.98
 39 range_pos >= p80                         50  28   +1.808   +1.270   +0.537   +0.36   +0.51   0.3590  0.01250   -    4.21    6.93  0.9790 ok cut=0.99
 40 range_pos <= p80                        123  32   +1.258   +1.518   -0.260   -0.31   -0.47   0.6191  0.02434   -    2.40    3.94  1.0000 ok cut=0.99
 41 brk_quality >= p20                      121  34   +0.898   +1.574   -0.676   -0.83   -1.18   0.7940  0.03520   -    2.30    3.76  1.0000 ok cut=0.505
 42 brk_quality <= p20                       31  23   +2.548   +1.096   +1.452   +1.20   +1.32   0.1215  0.00066   -    3.50    5.84  0.6317 ok cut=0.505
 43 brk_quality >= p40                       91  29   +0.528   +1.748   -1.220   -1.49   -1.84   0.9262  0.04342   -    2.32    3.84  1.0000 ok cut=0.639
 44 brk_quality <= p40                       61  30   +2.289   +1.072   +1.217   +1.10   +1.59   0.1407  0.00132   -    3.16    5.18  0.7061 ok cut=0.639
 45 brk_quality >= p60                       61  25   +1.228   +2.012   -0.784   -0.86   -0.87   0.7998  0.03553   -    2.61    4.37  1.0000 ok cut=0.7742
 46 brk_quality <= p60                       91  34   +1.239   +1.118   +0.121   +0.13   +0.20   0.4490  0.01645   -    2.66    4.33  0.9945 ok cut=0.7742
 47 brk_quality >= p80                       31  18   +1.110   +1.956   -0.846   -0.59   -0.62   0.7186  0.03125   -    4.15    7.20  1.0000 ok cut=0.8516
 48 brk_quality <= p80                      121  36   +1.267   +1.354   -0.087   -0.10   -0.16   0.5380  0.02105   -    2.57    4.18  0.9995 ok cut=0.8516
 49 up_strength >= p20                      121  32   +1.028   +1.538   -0.510   -0.55   -0.85   0.7057  0.02961   -    2.64    4.33  1.0000 ok cut=0.2495
 50 up_strength <= p20                       31  18   +2.041   +1.236   +0.805   +0.63   +0.91   0.2693  0.00921   -    3.71    6.44  0.9425 ok cut=0.2495
 51 up_strength >= p40                       91  30   +0.994   +1.757   -0.763   -0.87   -1.07   0.8030  0.03586   -    2.50    4.12  1.0000 ok cut=0.6042
 52 up_strength <= p40                       61  29   +1.593   +1.059   +0.534   +0.56   +0.77   0.2897  0.01053   -    2.71    4.47  0.9585 ok cut=0.6042
 53 up_strength >= p60                       61  22   +0.810   +1.878   -1.068   -1.08   -1.21   0.8538  0.03914   -    2.82    4.80  1.0000 ok cut=0.884
 54 up_strength <= p60                       91  34   +1.519   +1.208   +0.311   +0.33   +0.51   0.3721  0.01382   -    2.68    4.36  0.9850 ok cut=0.884
 55 up_strength >= p80                       44  18   +1.107   +2.130   -1.023   -0.79   -0.93   0.7788  0.03454   -    3.73    6.53  1.0000 ok cut=1
 56 up_strength <= p80                      152  36   +1.235   +1.477   -0.242   -0.30   -0.47   0.6171  0.02368   -    2.27    3.70  1.0000 ok DEGENERATE (admits 152/152)
 57 hour_utc [00,06)                         26  17   -0.639   +1.380   -2.019   -2.70   -2.95   0.9921  0.04704   -    2.18    3.80  1.0000 ok UTC six-hour block
 58 hour_utc [06,12)                         42  20   +0.592   +1.269   -0.677   -0.89   -1.01   0.8083  0.03618   -    2.18    3.74  1.0000 ok UTC six-hour block
 59 hour_utc [12,18)                         45  27   +1.833   +1.733   +0.100   +0.07   +0.09   0.4739  0.01743   -    4.31    7.11  0.9970 ok UTC six-hour block
 60 hour_utc [18,24)                         39  22   +2.485   +1.469   +1.016   +0.71   +0.79   0.2416  0.00789   -    4.09    6.91  0.9140 ok UTC six-hour block
 61 weekday                                 103  26   +1.173   +1.549   -0.376   -0.35   -0.61   0.6361  0.02566   -    3.02    5.07  1.0000 ok calendar
 62 weekend                                  49  10   +1.365   +1.324   +0.040   +0.03   +0.04   0.4866  0.01809   -    3.32    6.92  0.9975 ok calendar
 63 bars.tp==0.03                            23   9   +1.466   +1.307   +0.159   +0.17   +0.17   0.4355  0.01579   -    2.78    5.96  0.9935 ok stamped bracket regime
 64 bars.tp==0.04                            95  25   +1.095   +1.566   -0.470   -0.47   -0.66   0.6790  0.02796   -    2.83    4.76  1.0000 ok stamped bracket regime
 65 bars.max_hold_h==24                      38  15   +2.224   +0.967   +1.257   +1.11   +1.58   0.1429  0.00164   -    3.26    5.92  0.6977 ok stamped bracket regime
 66 bars.max_hold_h==48                     101  29   +0.722   +1.548   -0.827   -0.76   -1.22   0.7738  0.03421   -    3.07    5.08  1.0000 ok stamped bracket regime
 67 vol_m>=p50 & apr_pct>=p50                60  26   +0.436   +1.950   -1.515   -1.86   -2.08   0.9625  0.04539   -    2.32    3.87  1.0000 ok conjunction @p50
 68 vol_m>=p50 & apr_pct<=p50                65  27   +1.160   +1.619   -0.459   -0.56   -0.71   0.7090  0.03092   -    2.34    3.89  1.0000 ok conjunction @p50
 69 vol_m<=p50 & apr_pct>=p50                70  30   +1.882   +1.158   +0.723   +0.63   +0.84   0.2671  0.00888   -    3.27    5.37  0.9425 ok conjunction @p50
 70 vol_m<=p50 & apr_pct<=p50                70  28   +1.819   +1.181   +0.638   +0.54   +0.75   0.2967  0.01086   -    3.35    5.55  0.9615 ok conjunction @p50
 71 vol_m>=p50 & chg_pct>=p50                38  19   +0.332   +2.079   -1.747   -1.50   -1.82   0.9250  0.04309   -    3.34    5.78  1.0000 ok conjunction @p50
 72 vol_m>=p50 & chg_pct<=p50                38  20   +1.229   +1.530   -0.301   -0.28   -0.37   0.6099  0.02270   -    3.06    5.25  1.0000 ok conjunction @p50
 73 vol_m<=p50 & chg_pct>=p50                38  22   +2.709   +1.101   +1.608   +0.92   +1.16   0.1845  0.00428   -    5.04    8.50  0.8276 ok conjunction @p50
 74 vol_m<=p50 & chg_pct<=p50                38  20   +0.669   +1.196   -0.527   -0.55   -0.67   0.7045  0.02928   -    2.78    4.75  1.0000 ok conjunction @p50
 75 vol_m>=p50 & prem_bps>=p50               34  18   -0.764   +2.361   -3.126   -4.26   -3.56   0.9997  0.04737   -    2.12    3.68  1.0000 ok conjunction @p50
 76 vol_m>=p50 & prem_bps<=p50               42  23   +2.031   +1.354   +0.677   +0.65   +0.84   0.2613  0.00855   -    2.99    5.02  0.9370 ok conjunction @p50
 77 vol_m<=p50 & prem_bps>=p50               43  17   +1.470   +1.065   +0.406   +0.29   +0.38   0.3889  0.01480   -    4.05    7.18  0.9885 ok conjunction @p50
 78 vol_m<=p50 & prem_bps<=p50               35  23   +2.002   +1.276   +0.726   +0.44   +0.63   0.3324  0.01151   -    4.77    7.97  0.9700 ok conjunction @p50
 79 vol_m>=p50 & range_pos>=p50              47  28   +0.670   +1.607   -0.937   -0.94   -1.17   0.8212  0.03750   -    2.86    4.71  1.0000 ok conjunction @p50
 80 vol_m>=p50 & range_pos<=p50              40  19   +1.126   +1.959   -0.834   -0.70   -0.86   0.7535  0.03388   -    3.42    5.92  1.0000 ok conjunction @p50
 81 vol_m<=p50 & range_pos>=p50              51  26   +2.748   +1.249   +1.499   +1.11   +1.42   0.1386  0.00099   -    3.86    6.40  0.6962 ok conjunction @p50
 82 vol_m<=p50 & range_pos<=p50              39  22   +0.067   +1.166   -1.099   -1.19   -1.33   0.8766  0.04046   -    2.65    4.48  1.0000 ok conjunction @p50
 83 vol_m>=p50 & brk_quality>=p50            49  19   +0.588   +2.123   -1.535   -1.81   -1.90   0.9567  0.04474   -    2.42    4.21  1.0000 ok conjunction @p50
 84 vol_m>=p50 & brk_quality<=p50            27  17   +1.129   +1.227   -0.098   -0.07   -0.10   0.5274  0.02072   -    4.09    7.13  0.9995 ok conjunction @p50
 85 vol_m<=p50 & brk_quality>=p50            27  21   +1.008   +1.425   -0.417   -0.22   -0.26   0.5841  0.02237   -    5.63    9.46  1.0000 ok conjunction @p50
 86 vol_m<=p50 & brk_quality<=p50            49  23   +2.064   +0.996   +1.067   +0.92   +1.24   0.1834  0.00395   -    3.31    5.59  0.8251 ok conjunction @p50
 87 vol_m>=p50 & up_strength>=p50            43  17   +0.464   +2.229   -1.765   -2.12   -2.00   0.9751  0.04638   -    2.39    4.23  1.0000 ok conjunction @p50
 88 vol_m>=p50 & up_strength<=p50            33  18   +1.193   +1.251   -0.059   -0.05   -0.07   0.5186  0.01941   -    3.59    6.23  0.9995 ok conjunction @p50
 89 vol_m<=p50 & up_strength>=p50            33  22   +0.540   +1.297   -0.757   -0.47   -0.56   0.6783  0.02763   -    4.66    7.82  1.0000 ok conjunction @p50
 90 vol_m<=p50 & up_strength<=p50            43  23   +2.571   +1.035   +1.536   +1.20   +1.63   0.1207  0.00033   -    3.66    6.15  0.6282 ok conjunction @p50
 91 apr_pct>=p50 & chg_pct>=p50              69  29   +1.547   +1.636   -0.089   -0.07   -0.10   0.5268  0.02039   -    3.73    6.15  0.9995 ok conjunction @p50
 92 apr_pct>=p50 & chg_pct<=p50              61  26   +0.837   +1.397   -0.559   -0.68   -0.87   0.7471  0.03355   -    2.36    3.93  1.0000 ok conjunction @p50
 93 apr_pct<=p50 & chg_pct>=p50              65  29   +1.950   +1.463   +0.487   +0.35   +0.52   0.3632  0.01316   -    3.92    6.45  0.9815 ok conjunction @p50
 94 apr_pct<=p50 & chg_pct<=p50              70  28   +1.086   +1.326   -0.240   -0.31   -0.41   0.6218  0.02467   -    2.18    3.61  1.0000 ok conjunction @p50
 95 apr_pct>=p50 & prem_bps>=p50             76  22   +0.537   +1.642   -1.105   -1.14   -1.48   0.8668  0.03947   -    2.75    4.70  1.0000 ok conjunction @p50
 96 apr_pct>=p50 & prem_bps<=p50             56  28   +2.179   +1.366   +0.813   +0.57   +0.93   0.2853  0.01020   -    4.04    6.67  0.9570 ok conjunction @p50
 97 apr_pct<=p50 & prem_bps>=p50             60  21   +0.872   +1.492   -0.620   -0.55   -0.73   0.7059  0.02993   -    3.21    5.51  1.0000 ok conjunction @p50
 98 apr_pct<=p50 & prem_bps<=p50             77  34   +2.018   +1.319   +0.699   +0.61   +1.03   0.2741  0.00954   -    3.27    5.32  0.9465 ok conjunction @p50
 99 apr_pct>=p50 & range_pos>=p50            85  32   +1.728   +1.453   +0.275   +0.27   +0.36   0.3954  0.01513   -    2.91    4.76  0.9905 ok conjunction @p50
100 apr_pct>=p50 & range_pos<=p50            67  28   +0.657   +1.645   -0.988   -1.16   -1.34   0.8721  0.03980   -    2.42    4.00  1.0000 ok conjunction @p50
101 apr_pct<=p50 & range_pos>=p50            89  34   +2.049   +1.433   +0.617   +0.60   +0.85   0.2749  0.00987   -    2.89    4.71  0.9475 ok conjunction @p50
102 apr_pct<=p50 & range_pos<=p50            70  29   +0.751   +1.388   -0.637   -0.80   -0.98   0.7856  0.03487   -    2.25    3.72  1.0000 ok conjunction @p50
103 apr_pct>=p50 & brk_quality>=p50          66  27   +0.585   +1.946   -1.360   -1.36   -1.58   0.9078  0.04211   -    2.84    4.71  1.0000 ok conjunction @p50
104 apr_pct>=p50 & brk_quality<=p50          64  30   +1.863   +1.089   +0.774   +0.75   +1.03   0.2306  0.00691   -    2.95    4.84  0.9050 ok conjunction @p50
105 apr_pct<=p50 & brk_quality>=p50          62  26   +1.120   +1.758   -0.638   -0.62   -0.73   0.7303  0.03289   -    2.92    4.86  1.0000 ok conjunction @p50
106 apr_pct<=p50 & brk_quality<=p50          73  29   +1.826   +1.081   +0.745   +0.73   +1.11   0.2354  0.00757   -    2.89    4.77  0.9100 ok conjunction @p50
107 apr_pct>=p50 & up_strength>=p50          67  26   +0.366   +1.865   -1.500   -1.63   -1.78   0.9420  0.04408   -    2.62    4.37  1.0000 ok conjunction @p50
108 apr_pct>=p50 & up_strength<=p50          63  30   +2.117   +1.161   +0.956   +0.84   +1.25   0.2038  0.00592   -    3.24    5.31  0.8606 ok conjunction @p50
109 apr_pct<=p50 & up_strength>=p50          62  25   +0.825   +1.695   -0.871   -0.90   -1.01   0.8122  0.03717   -    2.75    4.60  1.0000 ok conjunction @p50
110 apr_pct<=p50 & up_strength<=p50          73  29   +2.077   +1.134   +0.942   +0.87   +1.41   0.1965  0.00526   -    3.08    5.09  0.8506 ok conjunction @p50
111 chg_pct>=p50 & prem_bps>=p50             48  19   +0.435   +1.802   -1.368   -1.42   -1.33   0.9142  0.04276   -    2.75    4.78  1.0000 ok conjunction @p50
112 chg_pct>=p50 & prem_bps<=p50             29  19   +3.276   +1.274   +2.002   +0.86   +1.43   0.2001  0.00559   -    6.74   11.55  0.8546 ok conjunction @p50
113 chg_pct<=p50 & prem_bps>=p50             29  14   +0.565   +1.364   -0.799   -0.61   -0.81   0.7248  0.03191   -    3.79    6.93  1.0000 ok conjunction @p50
114 chg_pct<=p50 & prem_bps<=p50             48  26   +1.258   +1.346   -0.088   -0.10   -0.13   0.5402  0.02138   -    2.47    4.10  0.9995 ok conjunction @p50
115 chg_pct>=p50 & range_pos>=p50            45  23   +2.530   +1.505   +1.025   +0.66   +0.82   0.2572  0.00822   -    4.43    7.46  0.9315 ok conjunction @p50
116 chg_pct>=p50 & range_pos<=p50            41  21   +0.035   +1.670   -1.635   -1.81   -1.78   0.9574  0.04507   -    2.59    4.41  1.0000 ok conjunction @p50
117 chg_pct<=p50 & range_pos>=p50            53  28   +1.091   +1.349   -0.259   -0.29   -0.38   0.6145  0.02336   -    2.51    4.14  1.0000 ok conjunction @p50
118 chg_pct<=p50 & range_pos<=p50            38  18   +1.216   +1.457   -0.241   -0.21   -0.28   0.5834  0.02204   -    3.25    5.67  1.0000 ok conjunction @p50
119 chg_pct>=p50 & brk_quality>=p50          48  25   +0.951   +1.955   -1.004   -0.89   -0.90   0.8088  0.03651   -    3.23    5.38  1.0000 ok conjunction @p50
120 chg_pct>=p50 & brk_quality<=p50          28  18   +2.497   +0.965   +1.532   +0.75   +1.17   0.2310  0.00724   -    5.92   10.22  0.9030 ok conjunction @p50
121 chg_pct<=p50 & brk_quality>=p50          28  15   +0.372   +1.738   -1.366   -1.34   -1.51   0.8993  0.04145   -    2.96    5.32  1.0000 ok conjunction @p50
122 chg_pct<=p50 & brk_quality<=p50          48  25   +1.285   +1.145   +0.141   +0.16   +0.20   0.4374  0.01612   -    2.53    4.22  0.9935 ok conjunction @p50
123 chg_pct>=p50 & up_strength>=p50          51  23   +0.491   +1.822   -1.331   -1.38   -1.28   0.9088  0.04243   -    2.76    4.66  1.0000 ok conjunction @p50
124 chg_pct>=p50 & up_strength<=p50          25  15   +3.622   +1.118   +2.504   +1.10   +1.76   0.1450  0.00197   -    6.65   11.90  0.7046 ok conjunction @p50
125 chg_pct<=p50 & up_strength>=p50          25  14   +0.510   +1.829   -1.319   -1.21   -1.31   0.8763  0.04013   -    3.18    5.79  1.0000 ok conjunction @p50
126 chg_pct<=p50 & up_strength<=p50          51  25   +1.164   +1.135   +0.029   +0.03   +0.04   0.4862  0.01776   -    2.39    3.98  0.9975 ok conjunction @p50
